csvData = `Kategori,Produk,Barcode,Gambar
Yogurt Drink 240 ml,Blueberry 240 ml,899320066165,https://c.alfagift.id/product/1/1_A10280005122_20240626114733650_base.jpg
Yogurt Drink 240 ml,Strawberry 240 ml,899320066130,https://c.alfagift.id/product/1/1_A10280005120_20240626115100240_base.jpg
Yogurt Drink 240 ml,Mixed Fruit 240 ml,899320066135,https://c.alfagift.id/product/1/1_A10280005121_20240920145736215_base.jpg
Yogurt Drink 240 ml,Mixed Berry 240 ml,899320066305,https://c.alfagift.id/product/1/1_A6880790001089_20240920145758248_base.jpg
Yogurt Drink 240 ml,Original 240 ml,899320066306,https://c.alfagift.id/product/1/1_A6880800001089_20240920145836144_base.jpg
Yogurt Drink 240 ml,LF Strawberry Mango 240 ml,899320066500,https://c.alfagift.id/product/1/1_A7313460001001_20260128153100581_base.jpg
Yogurt Drink 240 ml,LF Tropical Fruits 240 ml,899320066498,https://c.alfagift.id/product/1/1_A7086500001154_20250917102402100_base.jpg
Yogurt Drink 240 ml,LF Blueberry 240 ml,899320066501,https://c.alfagift.id/product/1/1_A8312210002167_20250910150317764_base.jpg
Yogurt Drink 240 ml,LF Stroberi 240 ml,899320066499,https://c.alfagift.id/product/1/1_A7313470001001_20250918115313783_base.jpg
Squeeze 120 gr,Original 120 gr,899320066693,https://c.alfagift.id/product/1/1_A7451330001001_20240920102555665_base.jpg
Squeeze 120 gr,Strawberry 120 gr,899320066694,https://c.alfagift.id/product/1/1_A7451340001001_20240920102614119_base.jpg
Squeeze 120 gr,Blueberry 120 gr,899320066695,https://c.alfagift.id/product/1/1_A7597910001001_20240920102633146_base.jpg
Squeeze 120 gr,Mango Sticky Rice 120 gr,899320066134,https://c.alfagift.id/product/1/1_A7741890002167_20240920102531798_base.jpg
Squeeze 120 gr,Brown Sugar 120 gr,899320066833,https://c.alfagift.id/product/1/1_A7748960002167_20240920102858672_base.jpg
Squeeze Bites 120 gr,Strawberry 120 gr,899320066940,https://c.alfagift.id/product/1/1_A8166180002167_20240729112109018_base.jpg
Squeeze Bites 120 gr,Blueberry 120 gr,899320066941,https://c.alfagift.id/product/1/1_A8166190002167_20240729112100727_base.jpg
Squeeze Bites 120 gr,Almond Kurma 120 gr,899320066924,https://c.alfagift.id/product/1/1_A8166200002167_20260317104659104_base.jpg
Squeeze Bites 120 gr,Strawberry Lychee 120 gr,899320066926,https://c.alfagift.id/product/1/1_A8166210002167_20240729112205127_base.jpg
Squeeze Bites 120 gr,Berry Blemd 120 gr,899320066927,https://c.alfagift.id/product/1/1_A8269630002167_20250326140551953_base.jpg
Squeeze Bites 120 gr,Strawberry Manggo 120 gr,899320066930,https://c.alfagift.id/product/1/1_A8269620002167_20250326140548908_base.jpg
Stick Yogurt 40 gr,Strawberry 40 gr,899320066891,https://c.alfagift.id/product/1/1_A8006350002167_20240417100250821_base.jpg
Stick Yogurt 40 gr,Blueberry 40 gr,899320066892,https://c.alfagift.id/product/1/1_A8006340002167_20241001094047307_base.jpg
Stick Yogurt 40 gr,Original 40 gr,899320066890,https://c.alfagift.id/product/1/1_A8130210002167_20240515095651244_base.jpg
Stick Yogurt 40 gr,Mango Sticky Rice 40 gr,899320066936,https://c.alfagift.id/product/1/1_A8130200002167_20240515094926824_base.jpg
Stick Yogurt 40 gr,Brown Sugar 40 gr,899320066946,https://c.alfagift.id/product/1/1_A8212140002167_20241025144852503_base.jpg
Stick Yogurt 40 gr,Orange 40gr,899320067029,https://c.alfagift.id/product/1/1_A8321360002167_20251022132023045_base.jpg
Stick Yogurt 40 gr,Anggur Kyoho 40 gr,899320067030,https://c.alfagift.id/product/1/1_A8321370002167_20251022133053287_base.jpg
Eatmilk 80 gr,Chocolate 80 gr,899320066956,https://c.alfagift.id/product/1/1_A8279130002167_20250509093700498_base.jpg
Eatmilk 80 gr,Marie Biscuits 80 gr,899320066962,https://c.alfagift.id/product/1/1_A8279140002167_20250509093710427_base.jpg
Eatmilk 80 gr,Chocolate Hazelnut 80 gr,899320066959,https://c.alfagift.id/product/1/1_A8279120002167_20250509093650705_base.jpg
Eatmilk 80 gr,Matcha 80 g,899320067063,https://c.alfagift.id/product/1/1_A8337290002167_20251223101100575_base.jpg
Kanzler Singles Sosis 60 gr,Singles Keju 60 gr,899320034631,https://c.alfagift.id/product/1/1_A7538860001001_20230615132139015_base.jpg
Kanzler Singles Sosis 60 gr,Singles Original 60 gr,899320034831,https://c.alfagift.id/product/1/1_A7538850001001_20230615132403372_base.jpg
Kanzler Singles Sosis 60 gr,Singles Mini 60 gr,899320034731,https://c.alfagift.id/product/1/1_A7538870001001_20230615132329904_base.jpg
Kanzler Singles Sosis 60 gr,Singles Hot 60 gr,899320034571,https://c.alfagift.id/product/1/1_A7558650001094_20230615132027699_base.jpg
Kanzler Singles Sosis 60 gr,Singles Gochujang 60 gr,899320066824,https://c.alfagift.id/product/1/1_A7864170002167_20240903144107496_base.jpg
Kanzler Singles Sosis 60 gr,Ayam Tom Yum 60 g,899320000003,https://c.alfagift.id/product/1/1_A8341930002167_20251229151403277_base.jpg
